segment_id,point_id,point_type,direction,status,gcs_uri,latitude,longitude,pano_id,pano_lat,pano_lng,street_bearing,heading
5,0034,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/005-0034_backward_40.7478634_-73.9929048_208.9.jpg,40.7478634,-73.9929048,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyNTJIZEE.,40.74788081579625,-73.99294337116656,28.93,208.93
5,0035,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/005-0035_forward_40.7480997_-73.9927324_28.9.jpg,40.7480997,-73.9927324,bZ-DMwLb1oDU5GSdRjDgFA,40.74809088146059,-73.99275865188343,28.92,28.92
5,0035,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/005-0035_backward_40.7480997_-73.9927324_208.9.jpg,40.7480997,-73.9927324,bZ-DMwLb1oDU5GSdRjDgFA,40.74809088146059,-73.99275865188343,28.92,208.92000000000002
5,0036,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/005-0036_forward_40.748336_-73.9925601_28.9.jpg,40.748336,-73.9925601,CPSy5gGoqdot6Y_RhwpZIQ,40.74832544610219,-73.99258774155334,28.92,28.92
5,0036,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/005-0036_backward_40.748336_-73.9925601_208.9.jpg,40.748336,-73.9925601,CPSy5gGoqdot6Y_RhwpZIQ,40.74832544610219,-73.99258774155334,28.92,208.92000000000002
5,0037,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/005-0037_forward_40.748469_-73.9924631_28.9.jpg,40.748469,-73.9924631,WLsMt2bYqnC8wLbo8BYB9g,40.74848017036908,-73.99247314367061,28.92,28.92
5,0037,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/005-0037_backward_40.748469_-73.9924631_208.9.jpg,40.748469,-73.9924631,WLsMt2bYqnC8wLbo8BYB9g,40.74848017036908,-73.99247314367061,28.92,208.92000000000002
6,0038,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/006-0038_forward_40.745383_-73.994709_28.6.jpg,40.745383,-73.994709,CAoSF0NJSE0wb2dLRUlDQWdJQ0U3N1NNckFF,40.7453530948146,-73.99473872572537,28.61,28.61
6,0038,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/006-0038_backward_40.745383_-73.994709_208.6.jpg,40.745383,-73.994709,CAoSF0NJSE0wb2dLRUlDQWdJQ0U3N1NNckFF,40.7453530948146,-73.99473872572537,28.61,208.61
6,0039,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/006-0039_forward_40.74562_-73.9945384_28.6.jpg,40.74562,-73.9945384,CAoSFkNJSE0wb2dLRUlDQWdJQ0U3NFRZWWc.,40.74565346316394,-73.99452719721114,28.61,28.61
6,0039,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/006-0039_backward_40.74562_-73.9945384_208.6.jpg,40.74562,-73.9945384,CAoSFkNJSE0wb2dLRUlDQWdJQ0U3NFRZWWc.,40.74565346316394,-73.99452719721114,28.61,208.61
6,0040,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/006-0040_forward_40.7458571_-73.9943677_28.5.jpg,40.7458571,-73.9943677,CAoSF0NJSE0wb2dLRUlDQWdJQ0VyNk9COGdF,40.745857708385,-73.99435503309343,28.54,28.54
6,0040,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/006-0040_backward_40.7458571_-73.9943677_208.5.jpg,40.7458571,-73.9943677,CAoSF0NJSE0wb2dLRUlDQWdJQ0VyNk9COGdF,40.745857708385,-73.99435503309343,28.54,208.54
6,0041,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/006-0041_forward_40.7460176_-73.9942525_28.5.jpg,40.7460176,-73.9942525,ItwpkwXnizdhjxemPCkX4w,40.74600955712912,-73.99426473653864,28.54,28.54
6,0041,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/006-0041_backward_40.7460176_-73.9942525_208.5.jpg,40.7460176,-73.9942525,ItwpkwXnizdhjxemPCkX4w,40.74600955712912,-73.99426473653864,28.54,208.54
7,0042,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/007-0042_forward_40.749056_-73.9957286_28.1.jpg,40.749056,-73.9957286,X9wiGjU3dCg2VhRy83tgLg,40.74902410386635,-73.995769823013,28.08,28.08
7,0042,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/007-0042_backward_40.749056_-73.9957286_208.1.jpg,40.749056,-73.9957286,X9wiGjU3dCg2VhRy83tgLg,40.74902410386635,-73.995769823013,28.08,208.07999999999998
7,0043,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/007-0043_forward_40.7492942_-73.9955608_27.8.jpg,40.7492942,-73.9955608,dyYERhpYoiVkniu4-6qi8g,40.74929904117604,-73.99556887649435,27.81,27.81
7,0043,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/007-0043_backward_40.7492942_-73.9955608_207.8.jpg,40.7492942,-73.9955608,dyYERhpYoiVkniu4-6qi8g,40.74929904117604,-73.99556887649435,27.81,207.81
